title,note
"Mbanza Kongo, Vestiges of the Capital of the former Kingdom of Kongo",not found in en.wikipedia batch
"ESMA Museum and Site of Memory - Former Clandestine Centre of Detention, Torture and Extermination",not found in en.wikipedia batch
Historic Centre of Sheki with the Khan's Palace,not found in en.wikipedia batch
Cultural Landscape of Khinalig People and “Köç Yolu” Transhumance Route,not found in en.wikipedia batch
Qal'at al-Bahrain - Ancient Harbour and Capital of Dilmun,not found in en.wikipedia batch
Historic Bridgetown and its Garrison,not found in en.wikipedia batch
"The Four Lifts on the Canal du Centre and their Environs, La Louvière and Le Roeulx (Hainaut)",not found in en.wikipedia batch
Mehmed Paša Sokolović Bridge in Višegrad,not found in en.wikipedia batch
Rio de Janeiro: Carioca Landscapes between the Mountain and the Sea,not found in en.wikipedia batch
São Francisco Square in the Town of São Cristóvão,not found in en.wikipedia batch
Paraty and Ilha Grande - Culture and Biodiversity,not found in en.wikipedia batch
Valongo Wharf Archaeological Site,not found in en.wikipedia batch
"Cidade Velha, Historic Centre of Ribeira Grande",not found in en.wikipedia batch
"Temple Zone of Sambor Prei Kuk, Archaeological Site of Ancient Ishanapura",not found in en.wikipedia batch
Koh Ker: Archaeological Site of Ancient Lingapura or Chok Gargyar,not found in en.wikipedia batch
Cambodian Memorial Sites: From centres of repression to places of peace and reflection,not found in en.wikipedia batch
Diy-Gid-Biy Cultural Landscape of the Mandara Mountains,not found in en.wikipedia batch
L'Anse aux Meadows National Historic Site,not found in en.wikipedia batch
Landscape of Grand Pré,not found in en.wikipedia batch
Tr'ondëk-Klondike,not found in en.wikipedia batch
Writing-on-Stone / Áísínai'pi,not found in en.wikipedia batch
Ennedi Massif: Natural and Cultural Landscape,not found in en.wikipedia batch
Settlement and Artificial Mummification of the Chinchorro Culture in the Arica and Parinacota Region,not found in en.wikipedia batch
Mount Qingcheng and the Dujiangyan Irrigation System,not found in en.wikipedia batch
Cultural Landscape of Honghe Hani Rice Terraces,not found in en.wikipedia batch
West Lake Cultural Landscape of Hangzhou,not found in en.wikipedia batch
Site of Xanadu,not found in en.wikipedia batch
"Kulangsu, a Historic International Settlement",not found in en.wikipedia batch
Quanzhou: Emporium of the World in Song-Yuan China,not found in en.wikipedia batch
Archaeological Ruins of Liangzhu City,not found in en.wikipedia batch
Cultural Landscape of Old Tea Forests of the Jingmai Mountain in Pu'er,not found in en.wikipedia batch
Beijing Central Axis: A Building Ensemble Exhibiting the Ideal Order of the Chinese Capital,not found in en.wikipedia batch
Chiribiquete National Park - “The Maloca of the Jaguar”,not found in en.wikipedia batch
Precolumbian Chiefdom Settlements with Stone Spheres of the Diquís,not found in en.wikipedia batch
Urban Historic Centre of Cienfuegos,not found in en.wikipedia batch
Holašovice Historic Village,not found in en.wikipedia batch
Žatec and the Landscape of Saaz Hops,not found in en.wikipedia batch
Landscape for Breeding and Training of Ceremonial Carriage Horses at Kladruby nad Labem,not found in en.wikipedia batch
Mount Kumgang - Diamond Mountain from the Sea,not found in en.wikipedia batch
The par force hunting landscape in North Zealand,not found in en.wikipedia batch
Kujataa Greenland: Norse and Inuit Farming at the Edge of the Ice Cap,not found in en.wikipedia batch
Aasivissuit - Nipisat. Inuit Hunting Ground between Ice and Sea,not found in en.wikipedia batch
Viking-Age Ring Fortresses,not found in en.wikipedia batch
Colonial City of Santo Domingo,not found in en.wikipedia batch
Asmara: A Modernist African City,not found in en.wikipedia batch
Melka Kunture and Balchit: Archaeological and Palaeontological Sites in the Highland Area of Ethiopia,not found in en.wikipedia batch
The Gedeo Cultural Landscape,not found in en.wikipedia batch
"Roman Theatre and its Surroundings and the ""Triumphal Arch"" of Orange",not found in en.wikipedia batch
"From the Great Saltworks of Salins-les-Bains to the Royal Saltworks of Arc-et-Senans, the Production of Open-pan Salt",not found in en.wikipedia batch
"Cathedral of Notre-Dame, Former Abbey of Saint-Rémi and Palace of Tau, Reims",not found in en.wikipedia batch
"Bordeaux, Port of the Moon",not found in en.wikipedia batch
"Decorated Cave of Pont d'Arc, known as Grotte Chauvet-Pont d'Arc, Ardèche",not found in en.wikipedia batch
The Maison Carrée of Nîmes,not found in en.wikipedia batch
"Nice, Winter Resort Town of the Riviera",not found in en.wikipedia batch
Te Henua Enata - The Marquesas Islands,not found in en.wikipedia batch
Megaliths of Carnac and of the shores of Morbihan,not found in en.wikipedia batch
St Mary's Cathedral and St Michael's Church at Hildesheim,not found in en.wikipedia batch
"Collegiate Church, Castle and Old Town of Quedlinburg",not found in en.wikipedia batch
"Mines of Rammelsberg, Historic Town of Goslar and Upper Harz Water Management System",not found in en.wikipedia batch
Luther Memorials in Eisleben and Wittenberg,not found in en.wikipedia batch
Historic Centres of Stralsund and Wismar,not found in en.wikipedia batch
Town Hall and Roland on the Marketplace of Bremen,not found in en.wikipedia batch
Fagus Factory in Alfeld,not found in en.wikipedia batch
Carolingian Westwork and Civitas Corvey,not found in en.wikipedia batch
Speicherstadt and Kontorhaus District with Chilehaus,not found in en.wikipedia batch
Archaeological Border complex of Hedeby and the Danevirke,not found in en.wikipedia batch
Water Management System of Augsburg,not found in en.wikipedia batch
"ShUM Sites of Speyer, Worms and Mainz",not found in en.wikipedia batch
Schwerin Residence Ensemble,not found in en.wikipedia batch
"The Palaces of King Ludwig II of Bavaria: Neuschwanstein, Linderhof, Schachen and Herrenchiemsee",not found in en.wikipedia batch
"Monasteries of Daphni, Hosios Loukas and Nea Moni of Chios",not found in en.wikipedia batch
Pythagoreion and Heraion of Samos,not found in en.wikipedia batch
Archaeological Site of Aigai (modern name Vergina),not found in en.wikipedia batch
Archaeological Sites of Mycenae and Tiryns,not found in en.wikipedia batch
The Historic Centre (Chorá) with the Monastery of Saint-John the Theologian and the Cave of the Apocalypse on the Island of Pátmos,not found in en.wikipedia batch
Archaeological Site of Philippi,not found in en.wikipedia batch
Zagori Cultural Landscape,not found in en.wikipedia batch
National Archaeological Park Tak'alik Ab'aj,not found in en.wikipedia batch
"National History Park - Citadel, Sans Souci, Ramiers",not found in en.wikipedia batch
Maya Site of Copan,not found in en.wikipedia batch
"Rani-ki-Vav (the Queen's Stepwell) at Patan, Gujarat",not found in en.wikipedia batch
Chhatrapati Shivaji Terminus (formerly Victoria Terminus),not found in en.wikipedia batch
"Archaeological Site of Nalanda Mahavihara at Nalanda, Bihar",not found in en.wikipedia batch
"Kakatiya Rudreshwara (Ramappa) Temple, Telangana",not found in en.wikipedia batch
Dholavira: a Harappan City,not found in en.wikipedia batch
Moidams - the Mound-Burial System of the Ahom Dynasty,not found in en.wikipedia batch
Ombilin Coal Mining Heritage of Sawahlunto,not found in en.wikipedia batch
The Cosmological Axis of Yogyakarta and its Historic Landmarks,not found in en.wikipedia batch
Sheikh Safi al-din Khānegāh and Shrine Ensemble in Ardabil,not found in en.wikipedia batch
Masjed-e Jāmé of Isfahan,not found in en.wikipedia batch
Cultural Landscape of Maymand,not found in en.wikipedia batch
Historic City of Yazd,not found in en.wikipedia batch
Cultural Landscape of Hawraman/Uramanat,not found in en.wikipedia batch
Prehistoric Sites of the Khorramabad Valley,not found in en.wikipedia batch
The Ahwar of Southern Iraq: Refuge of Biodiversity and the Relict Landscape of the Mesopotamian Cities,not found in en.wikipedia batch
Brú na Bóinne - Archaeological Ensemble of the Bend of the Boyne,not found in en.wikipedia batch
White City of Tel-Aviv - the Modern Movement,not found in en.wikipedia batch
"Biblical Tels - Megiddo, Hazor, Beer Sheba",not found in en.wikipedia batch
Bahá'i Holy Places in Haifa and the Western Galilee,not found in en.wikipedia batch
Caves of Maresha and Bet-Guvrin in the Judean Lowlands as a Microcosm of the Land of the Caves,not found in en.wikipedia batch
Sites of Human Evolution at Mount Carmel: The Nahal Me'arot / Wadi el-Mughara Caves,not found in en.wikipedia batch
Necropolis of Bet She'arim: A Landmark of Jewish Renewal,not found in en.wikipedia batch
Church and Dominican Convent of Santa Maria delle Grazie with “The Last Supper” by Leonardo da Vinci,not found in en.wikipedia batch
Venice and its Lagoon,not found in en.wikipedia batch
"18th-Century Royal Palace at Caserta with the Park, the Aqueduct of Vanvitelli, and the San Leucio Complex",not found in en.wikipedia batch
The Sassi and the Park of the Rupestrian Churches of Matera,not found in en.wikipedia batch
"Ferrara, City of the Renaissance, and its Po Delta",not found in en.wikipedia batch
Early Christian Monuments of Ravenna,not found in en.wikipedia batch
"Botanical Garden (Orto Botanico), Padua",not found in en.wikipedia batch
Archaeological Area and the Patriarchal Basilica of Aquileia,not found in en.wikipedia batch
"Portovenere, Cinque Terre, and the Islands (Palmaria, Tino and Tinetto)",not found in en.wikipedia batch
"Cathedral, Torre Civica and Piazza Grande, Modena",not found in en.wikipedia batch
"Archaeological Areas of Pompei, Herculaneum and Torre Annunziata",not found in en.wikipedia batch
"Cilento and Vallo di Diano National Park with the Archeological Sites of Paestum and Velia, and the Certosa di Padula",not found in en.wikipedia batch
Villa Adriana (Tivoli),not found in en.wikipedia batch
"Assisi, the Basilica of San Francesco and Other Franciscan Sites",not found in en.wikipedia batch
Late Baroque Towns of the Val di Noto (South-Eastern Sicily),not found in en.wikipedia batch
"Villa d'Este, Tivoli",not found in en.wikipedia batch
Etruscan Necropolises of Cerveteri and Tarquinia,not found in en.wikipedia batch
Syracuse and the Rocky Necropolis of Pantalica,not found in en.wikipedia batch
Mantua and Sabbioneta,not found in en.wikipedia batch
Longobards in Italy. Places of the Power (568-774 A.D.),not found in en.wikipedia batch
Arab-Norman Palermo and the Cathedral Churches of Cefalú and Monreale,not found in en.wikipedia batch
"Ivrea, industrial city of the 20th century",not found in en.wikipedia batch
Le Colline del Prosecco di Conegliano e Valdobbiadene,not found in en.wikipedia batch
The Porticoes of Bologna,not found in en.wikipedia batch
The Archaeological Ensemble of 17th Century Port Royal,not found in en.wikipedia batch
Mozu-Furuichi Kofun Group: Mounded Tombs of Ancient Japan,not found in en.wikipedia batch
Jomon Prehistoric Sites in Northern Japan,not found in en.wikipedia batch
Sado Island Gold Mines,not found in en.wikipedia batch
As-Salt - The Place of Tolerance and Urban Hospitality,not found in en.wikipedia batch
Wadi Rum Protected Area,not found in en.wikipedia batch
Baptism Site “Bethany Beyond the Jordan” (Al-Maghtas),not found in en.wikipedia batch
Umm Al-Jimāl,not found in en.wikipedia batch
Petroglyphs of the Archaeological Landscape of Tanbaly,not found in en.wikipedia batch
"Fort Jesus, Mombasa",not found in en.wikipedia batch
Thimlich Ohinga Archaeological Site,not found in en.wikipedia batch
The Historic Town and Archaeological Site of Gedi,not found in en.wikipedia batch
Megalithic Jar Sites in Xiengkhuang - Plain of Jars,not found in en.wikipedia batch
Old town of Kuldīga,not found in en.wikipedia batch
Rachid Karami International Fair-Tripoli,not found in en.wikipedia batch
City of Luxembourg: its Old Quarters and Fortifications,not found in en.wikipedia batch
Mount Mulanje Cultural Landscape,not found in en.wikipedia batch
Forest Research Institute Malaysia Forest Park Selangor,not found in en.wikipedia batch
City of Valletta,not found in en.wikipedia batch
Historic Centre of Oaxaca and Archaeological Site of Monte Albán,not found in en.wikipedia batch
"El Tajin, Pre-Hispanic City",not found in en.wikipedia batch
Protective town of San Miguel and the Sanctuary of Jesús Nazareno de Atotonilco,not found in en.wikipedia batch
Prehistoric Caves of Yagul and Mitla in the Central Valley of Oaxaca,not found in en.wikipedia batch
Tehuacán-Cuicatlán Valley: originary habitat of Mesoamerica,not found in en.wikipedia batch
Wixárika Route through Sacred Sites to Wirikuta (Tatehuarí Huajuyé),not found in en.wikipedia batch
Nan Madol: Ceremonial Centre of Eastern Micronesia,not found in en.wikipedia batch
Petroglyphic Complexes of the Mongolian Altai,not found in en.wikipedia batch
Great Burkhan Khaldun Mountain and its surrounding sacred landscape,not found in en.wikipedia batch
Deer Stone Monuments and Related Bronze Age Sites,not found in en.wikipedia batch
"Rabat, Modern Capital and Historic City: a Shared Heritage",not found in en.wikipedia batch
"Historic Area of Willemstad, Inner City and Harbour, Curaçao",not found in en.wikipedia batch
Seventeenth-Century Canal Ring Area of Amsterdam inside the Singelgracht,not found in en.wikipedia batch
Eisinga Planetarium in Franeker,not found in en.wikipedia batch
Vegaøyan - The Vega Archipelago,not found in en.wikipedia batch
Ancient City of Qalhat,not found in en.wikipedia batch
Rock Islands Southern Lagoon,not found in en.wikipedia batch
Chavin (Archaeological Site),not found in en.wikipedia batch
Lines and Geoglyphs of Nasca and Palpa,not found in en.wikipedia batch
Historical Centre of the City of Arequipa,not found in en.wikipedia batch
Chankillo Archaeoastronomical Complex,not found in en.wikipedia batch
Wieliczka and Bochnia Royal Salt Mines,not found in en.wikipedia batch
Kalwaria Zebrzydowska: the Mannerist Architectural and Park Landscape Complex and Pilgrimage Park,not found in en.wikipedia batch
Wooden Churches of Southern Małopolska,not found in en.wikipedia batch
Churches of Peace in Jawor and Świdnica,not found in en.wikipedia batch
Centennial Hall in Wrocław,not found in en.wikipedia batch
Tarnowskie Góry Lead-Silver-Zinc Mine and its Underground Water Management System,not found in en.wikipedia batch
Krzemionki Prehistoric Striped Flint Mining Region,not found in en.wikipedia batch
Monastery of the Hieronymites and Tower of Belém in Lisbon,not found in en.wikipedia batch
Convent of Christ in Tomar,not found in en.wikipedia batch
Cultural Landscape of Sintra,not found in en.wikipedia batch
"Historic Centre of Oporto, Luiz I Bridge and Monastery of Serra do Pilar",not found in en.wikipedia batch
Historic Centre of Guimarães and Couros Zone,not found in en.wikipedia batch
University of Coimbra - Alta and Sofia,not found in en.wikipedia batch
Sanctuary of Bom Jesus do Monte in Braga,not found in en.wikipedia batch
Al Zubarah Archaeological Site,not found in en.wikipedia batch
Historic Villages of Korea: Hahoe and Yangdong,not found in en.wikipedia batch
"Seowon, Korean Neo-Confucian Academies",not found in en.wikipedia batch
Roșia Montană Mining Landscape,not found in en.wikipedia batch
Frontiers of the Roman Empire - Dacia,not found in en.wikipedia batch
"Kremlin and Red Square, Moscow",not found in en.wikipedia batch
Bolgar Historical and Archaeological Complex,not found in en.wikipedia batch
Ensemble of the Ferapontov Monastery,not found in en.wikipedia batch
Assumption Cathedral and Monastery of the town-island of Sviyazhsk,not found in en.wikipedia batch
Cultural Landscape of Kenozero Lake,not found in en.wikipedia batch
Rock Paintings of Shulgan-Tash Cave,not found in en.wikipedia batch
Hegra Archaeological Site (al-Hijr / Madā ͐ in Ṣāliḥ),not found in en.wikipedia batch
"Historic Jeddah, the Gate to Makkah",not found in en.wikipedia batch
Rock Art in the Hail Region of Saudi Arabia,not found in en.wikipedia batch
"Al-Ahsa Oasis, an Evolving Cultural Landscape",not found in en.wikipedia batch
The Cultural Landscape of Al-Faw Archaeological Area,not found in en.wikipedia batch
"Bassari Country: Bassari, Fula and Bedik Cultural Landscapes",not found in en.wikipedia batch
Stari Ras and Sopoćani,not found in en.wikipedia batch
"Gamzigrad-Romuliana, Palace of Galerius",not found in en.wikipedia batch
Bardejov Town Conservation Reserve,not found in en.wikipedia batch
"Human Rights, Liberation and Reconciliation: Nelson Mandela Legacy Sites",not found in en.wikipedia batch
The Emergence of Modern Human Behaviour: The Pleistocene Occupation Sites of South Africa,not found in en.wikipedia batch
Old Town of Segovia and its Aqueduct,not found in en.wikipedia batch
Monuments of Oviedo and the Kingdom of the Asturias,not found in en.wikipedia batch
"Alhambra, Generalife and Albayzín, Granada",not found in en.wikipedia batch
"Monastery and Site of the Escurial, Madrid",not found in en.wikipedia batch
Santiago de Compostela (Old Town),not found in en.wikipedia batch
Old Town of Ávila with its Extra-Muros Churches,not found in en.wikipedia batch
Old City of Salamanca,not found in en.wikipedia batch
"Cathedral, Alcázar and Archivo de Indias in Seville",not found in en.wikipedia batch
"Ibiza, Biodiversity and Culture",not found in en.wikipedia batch
Renaissance Monumental Ensembles of Úbeda and Baeza,not found in en.wikipedia batch
Historic Walled Town of Cuenca,not found in en.wikipedia batch
"Palau de la Música Catalana and Hospital de Sant Pau, Barcelona",not found in en.wikipedia batch
San Millán Yuso and Suso Monasteries,not found in en.wikipedia batch
Archaeological Ensemble of Tarraco,not found in en.wikipedia batch
University and Historic Precinct of Alcalá de Henares,not found in en.wikipedia batch
Cultural Landscape of the Serra de Tramuntana,not found in en.wikipedia batch
Talayotic Menorca,not found in en.wikipedia batch
Caliphate City of Medina Azahara,not found in en.wikipedia batch
Risco Caido and the Sacred Mountains of Gran Canaria Cultural Landscape,not found in en.wikipedia batch
"Paseo del Prado and Buen Retiro, a landscape of Arts and Sciences",not found in en.wikipedia batch
Rangiri Dambulla Cave Temple,not found in en.wikipedia batch
"Birthplace of Jesus: Church of the Nativity and the Pilgrimage Route, Bethlehem",not found in en.wikipedia batch
"Palestine: Land of Olives and Vines - Cultural Landscape of Southern Jerusalem, Battir",not found in en.wikipedia batch
Hebron/Al-Khalil Old Town,not found in en.wikipedia batch
Ancient Jericho/Tell es-Sultan,not found in en.wikipedia batch
Saint Hilarion Monastery/ Tell Umm Amer,not found in en.wikipedia batch
Archaeological Sites of the Island of Meroe,not found in en.wikipedia batch
Historic Inner City of Paramaribo,not found in en.wikipedia batch
Jodensavanne Archaeological Site: Jodensavanne Settlement and Cassipora Creek Cemetery,not found in en.wikipedia batch
Royal Domain of Drottningholm,not found in en.wikipedia batch
Hanseatic Town of Visby,not found in en.wikipedia batch
"Church Town of Gammelstad, Luleå",not found in en.wikipedia batch
Laponian Area,not found in en.wikipedia batch
Mining Area of the Great Copper Mountain in Falun,not found in en.wikipedia batch
"Grimeton Radio Station, Varberg",not found in en.wikipedia batch
Benedictine Convent of St John at Müstair,not found in en.wikipedia batch
"Three Castles, Defensive Wall and Ramparts of the Market-Town of Bellinzona",not found in en.wikipedia batch
"Lavaux, Vineyard Terraces",not found in en.wikipedia batch
"La Chaux-de-Fonds / Le Locle, Watchmaking Town Planning",not found in en.wikipedia batch
Crac des Chevaliers and Qal'at Salah El-Din,not found in en.wikipedia batch
Cultural Heritage Sites of Ancient Khuttal,not found in en.wikipedia batch
"Phu Phrabat, a testimony to the Sīma stone tradition of the Dvaravati period",not found in en.wikipedia batch
The Ancient Town of Si Thep and its Associated Dvaravati Monuments,not found in en.wikipedia batch
Djerba: Testimony to a settlement pattern in an island territory,not found in en.wikipedia batch
Göreme National Park and the Rock Sites of Cappadocia,not found in en.wikipedia batch
Hattusha: the Hittite Capital,not found in en.wikipedia batch
Xanthos-Letoon,not found in en.wikipedia batch
Hierapolis-Pamukkale,not found in en.wikipedia batch
Selimiye Mosque and its Social Complex,not found in en.wikipedia batch
Neolithic Site of Çatalhöyük,not found in en.wikipedia batch
Bursa and Cumalıkızık: the Birth of the Ottoman Empire,not found in en.wikipedia batch
Pergamon and its Multi-Layered Cultural Landscape,not found in en.wikipedia batch
Diyarbakır Fortress and Hevsel Gardens Cultural Landscape,not found in en.wikipedia batch
Archaeological Site of Ani,not found in en.wikipedia batch
Arslantepe Mound,not found in en.wikipedia batch
Sardis and the Lydian Tumuli of Bin Tepe,not found in en.wikipedia batch
"Kyiv: Saint-Sophia Cathedral and Related Monastic Buildings, Kyiv-Pechersk Lavra",not found in en.wikipedia batch
Ancient City of Tauric Chersonese and its Chora,not found in en.wikipedia batch
The Historic Centre of Odesa,not found in en.wikipedia batch
"Cultural Sites of Al Ain (Hafit, Hili, Bidaa Bint Saud and Oases Areas)",not found in en.wikipedia batch
Faya Palaeolandscape,not found in en.wikipedia batch
Palace of Westminster and Westminster Abbey including Saint Margaret's Church,not found in en.wikipedia batch
"Canterbury Cathedral, St Augustine's Abbey, and St Martin's Church",not found in en.wikipedia batch
Pontcysyllte Aqueduct and Canal,not found in en.wikipedia batch
The Forth Bridge,not found in en.wikipedia batch
Gorham's Cave Complex,not found in en.wikipedia batch
Monticello and the University of Virginia in Charlottesville,not found in en.wikipedia batch
Monumental Earthworks of Poverty Point,not found in en.wikipedia batch
Fray Bentos Industrial Landscape,not found in en.wikipedia batch
The work of engineer Eladio Dieste: Church of Atlántida,not found in en.wikipedia batch
Central Sector of the Imperial Citadel of Thang Long - Hanoi,not found in en.wikipedia batch
Trang An Landscape Complex,not found in en.wikipedia batch
"Yen Tu-Vinh Nghiem-Con Son, Kiep Bac Complex of Monuments and Landscapes",not found in en.wikipedia batch
Natural and Cultural Heritage of the Ohrid region,not found in en.wikipedia batch
"Qhapaq Ñan, Andean Road System",not found in en.wikipedia batch
Frontiers of the Roman Empire - The Danube Limes (Western Segment),not found in en.wikipedia batch
Stećci Medieval Tombstone Graveyards,not found in en.wikipedia batch
Erzgebirge/Krušnohoří Mining Region,not found in en.wikipedia batch
Moravian Church Settlements,not found in en.wikipedia batch
Frontiers of the Roman Empire - The Lower German Limes,not found in en.wikipedia batch
"Historic Centre of Rome, the Properties of the Holy See in that City Enjoying Extraterritorial Rights and San Paolo Fuori le Mura",not found in en.wikipedia batch
Funerary Tradition in the Prehistory of Sardinia – The domus de janas,not found in en.wikipedia batch
Delta Works / Netherlands North Sea Protection Works,not found in en.wikipedia batch
Barotse Floodplain Cultural Landscape,not found in en.wikipedia batch
Belfast Assembly Rooms,not found in en.wikipedia batch
Bhuj Historic Water Systems,not found in en.wikipedia batch
Buddhist Grottoes of Maijishan and Yungang,not found in en.wikipedia batch
Chapel of the Sorbonne,not found in en.wikipedia batch
Chief Ogiamien’s House,not found in en.wikipedia batch
Cinema Studio Namibe,not found in en.wikipedia batch
Erdene Zuu Buddhist Monastery,not found in en.wikipedia batch
Gaza Historic Urban Fabric,not found in en.wikipedia batch
Historic City of Antakya,not found in en.wikipedia batch
Historic Lighthouses of Maine,not found in en.wikipedia batch
Jewish Heritage of Debdou,not found in en.wikipedia batch
Kyiv Teacher’s House,not found in en.wikipedia batch
Monasteries of the Drino Valley,not found in en.wikipedia batch
Musi Heritage Revitalization Project / Musi River Historic Buildings,not found in en.wikipedia batch
Noto Peninsula Heritage Sites,not found in en.wikipedia batch
Ruins of Old Belchite,not found in en.wikipedia batch
Serifos Historic Mining Landscape,not found in en.wikipedia batch
Swahili Coast Heritage Sites,not found in en.wikipedia batch
Terracotta Sculptures of Alcobaça Monastery,not found in en.wikipedia batch
The Great Trading Path,not found in en.wikipedia batch
Waru Waru Agricultural Fields,not found in en.wikipedia batch
Water Reservoirs of Tunis Medina,not found in en.wikipedia batch
Arakelots Monastery and Settlement,not found in en.wikipedia batch
Castle of Monemvasia,not found in en.wikipedia batch
Great Synagogue in Orla,not found in en.wikipedia batch
Generalštab Modernist Complex in Belgrade,not found in en.wikipedia batch
"Valhalla Swimming Hall, Gothenburg",not found in en.wikipedia batch
"Victoria Tower Gardens, London",not found in en.wikipedia batch
Chorá of Patmos,not found in en.wikipedia batch
Lalitpur (Patan),not found in en.wikipedia batch
Tel-Aviv-Yafo,not found in en.wikipedia batch
